Absolution (2250)
Abyssal Stone (2350)
Adventurer's Blade (1150)
Amulet of Silence (2700)
Amulet of the Stronghold (2700)
Ancient Blade (550)
Apprentice Staff (1600)
Archdruid's Fury (2500)
Archmage's Gem (2200)
Arondight (2600)
Asi (2450)
Atalanta's Bow (2400)
Axe of Animosity (2150)
Balanced Blade (1250)
Bancroft's Claw (3100)
Bancroft's Talon (2500)
Benevolence (600)
Berserker's Shield (2400)
Bladed Boomerang (2500)
Blood-soaked Shroud (2200)
Bloodforge (2600)
Bluestone Brooch (2200)
Bluestone Pendant (700)
Book of Souls (1350)
Bound Gauntlet (1050)
Brawler's Beat Stick (2500)
Breastplate (600)
Breastplate of Determination (2900)
Breastplate of Regrowth (2100)
Breastplate of Valor (2300)
Breastplate of Vigilance (2900)
Bristlebush Acorn (2050)
Bumba's Dagger (600)
Bumba's Hammer (2100)
Bumba's Spear (2100)
Caduceus Club (2500)
Calamitous Rod of Tahuti (3450)
Cannoneer's Cuirass (2100)
Charged Bow (1200)
Charged Morningstar (1200)
Chronos' Pendant (2600)
Cleric's Cloak (1150)
Cloak (600)
Cloak of Concentration (1500)
Compassion (1850)
Conduit Gem (700)
Contagion (2250)
Corrupted Bluestone (2200)
Cudgel (650)
Cursed Blade (1250)
Cursed Gauntlet (1400)
Cursed Orb (1600)
Cyclopean Ring (2600)
Dawnbringer (2400)
Death's Embrace (2150)
Death's Temper (2150)
Death's Toll (650)
Deathbringer (2900)
Demon Blade (2400)
Demonic Grip (2300)
Diamond Arrow (2150)
Divine Ruin (2550)
Dominance (2500)
Doom Orb (2850)
Druid Stone (650)
Emerald Mail (1250)
Emerald Ring (600)
Emerald Talisman (1400)
Emperor's Armor (2250)
Enchanted Kusari (650)
Enchanted Ring (1300)
Enchanted Spear (1400)
Enchanted Trinket (1100)
Envenomed Deathbringer (3500)
Ethereal Staff (2600)
Evergreen Acorn (2050)
Evolved Book of Thoth (2500)
Evolved Charon's Coin (2400)
Evolved Devourer's Gauntlet (2400)
Evolved Gauntlet of Thebes (2350)
Evolved Prophetic Cloak (2350)
Evolved Rage (2500)
Evolved Soul Eater (2100)
Evolved Transcendence (2600)
Evolved Warlock's Staff (2500)
Eye of the Jungle (650)
Fae-Blessed Hoops (2300)
Fail-not (2650)
Fighter's Mask (650)
Fortified Scepter (1350)
Frostbound Hammer (2400)
Gem of Fate (900)
Gem of Focus (2200)
Gem of Isolation (2700)
Genji's Guard (2200)
Gilded Arrow (650)
Gladiator's Shield (2300)
Gleaming Ear Cuffs (1300)
Glowing Emerald (600)
Golden Blade (2150)
Griffonwing Earrings (2200)
Hastened Katana (2450)
Hastened Ring (2700)
Heartseeker (2750)
Heartward Amulet (2100)
Heavy Hammer (1350)
Heavy Mace (1450)
Heroism (1850)
Hidden Dagger (700)
Honed Edge (1600)
Hunter's Bow (1200)
Hunter's Cowl (2200)
Hydra's Lament (2300)
Hydra's Star (1200)
Infused Sigil (2150)
Iron Mail (650)
Jeweled Studs (1400)
Jotunn's Cunning (2800)
Jotunn's Vigor (2800)
Jotunn's Wrath (2200)
Katana (600)
Knight's Shield (1600)
Leader's Cowl (2200)
Leather Cowl (700)
Light Blade (600)
Lively Acorn (700)
Lono's Mask (1900)
Lost Artifact (550)
Lotus Sickle (2000)
Mace (650)
Magi's Cloak (2150)
Magi's Revenge (2750)
Magi's Shelter (2750)
Magic Focus (650)
Mail of Renewal (2300)
Malicious Deathbringer (3500)
Manikin Hidden Blade (2250)
Manikin Mace (2250)
Manikin Scepter (750)
Manticore's Spikes (2400)
Mantle of Discord (2900)
Midgardian Mail (2300)
Morningstar (600)
Mystical Earrings (400)
Mystical Mail (2450)
Nettle Acorn (700)
Nimble Bancroft's Talon (3100)
Obsidian Shard (2500)
Odysseus' Bow (2100)
Oni Hunter's Garb (2100)
Ornate Arrow (2150)
Pendulum of Ages (2200)
Perfected Rod of Tahuti (3450)
Pestilence (2400)
Phalanx (2200)
Polynomicon (2300)
Pridwen (2400)
Protector of the Jungle (2150)
Protector's Mask (650)
Pythagorem's Piece (2300)
Qin's Sais (2600)
Rangda's Mask (2150)
Relic Dagger (1850)
Restored Artifact (1400)
Rod of Asclepius (2600)
Rod of Healing (1500)
Rod of Tahuti (2850)
Rose Spike Earrings (1200)
Round Shield (650)
Runeforged Hammer (2500)
Sacrificial Shroud (2200)
Sage's Stone (1400)
Sands of Time (700)
Seer of the Jungle (2150)
Sentinel's Boon (1800)
Sentinel's Embrace (1800)
Sentinel's Gift (550)
Serrated Edge (2500)
Shadowdrinker (2300)
Shogun's Kusari (2200)
Short Bow (650)
Short Sword (1350)
Sigil of the Old Guard (2150)
Silver Breastplate (1050)
Silver Talisman (1250)
Silverbranch Bow (2550)
Sorcerer's Staff (1350)
Soul Gem (2300)
Soul Reaver (2650)
Sovereignty (2100)
Spartan Flag (1850)
Spear of Desolation (2500)
Spear of the Magus (2450)
Spectral Armor (2300)
Spell Focus (1500)
Spellbook (650)
Spellbound Kusari (1250)
Sphinx's Baubles (2550)
Spiked Gauntlet (600)
Spirit Robe (2400)
Staff of Myrddin (2600)
Steel Mail (1400)
Stone of Binding (2300)
Stone of Gaia (2250)
Sundering Axe (2100)
Tablet of Destinies (2650)
Tainted Amulet (2200)
Tainted Breastplate (2200)
Tainted Steel (600)
Talisman (650)
Talisman of Energy (2150)
Talon Trinket (1400)
Telkhines Ring (2250)
The Alternate Timeline (2200)
The Crusher (2600)
The Executioner (2200)
The Ferocious Executioner (2800)
The Heavy Executioner (2800)
Thickbark Acorn (2050)
Thistlethorn Acorn (2050)
Thousand Fold Blade (1250)
Tiny Trinket (550)
Titan's Bane (2500)
Tower Shield (1150)
Toxic Blade (2400)
Typhon's Fang (2800)
Uncommon Staff (650)
Vampiric Shroud (700)
War Banner (1850)
War Flag (600)
Warding Sigil (650)
Warrior's Axe (650)
Warrior's Bane (1500)
Winged Blade (1850)
